Date,DOGE/USD,Rank
2021-08-21,$0.3244,Rank #7
2021-08-20,$0.326,Rank #7
2021-08-19,$0.301,Rank #7
2021-08-18,$0.3195,Rank #7
2021-08-17,$0.3167,Rank #7
2021-08-16,$0.3351,Rank #7
2021-08-15,$0.3008,Rank #7
2021-08-14,$0.2878,Rank #7
2021-08-13,$0.2746,Rank #7
2021-08-12,$0.2591,Rank #7
2021-08-11,$0.2774,Rank #7
2021-08-10,$0.2457,Rank #7
2021-08-09,$0.2525,Rank #7
2021-08-08,$0.2414,Rank #7
2021-08-07,$0.2366,Rank #7
2021-08-06,$0.2055,Rank #8
2021-08-05,$0.2011,Rank #8
2021-08-04,$0.2013,Rank #8
2021-08-03,$0.1973,Rank #8
2021-08-02,$0.2049,Rank #8
2021-08-01,$0.2087,Rank #8
2021-07-31,$0.2072,Rank #8
2021-07-30,$0.2005,Rank #8
2021-07-29,$0.2042,Rank #8
2021-07-28,$0.2053,Rank #8
